CWNS_NUM,FACILITY_ID,STATE,CURRENT_DESIGN_FLOW,FUTURE_DESIGN_FLOW,FACILITY_NAME,FACILITY_TYPE,CITY,LATITUDE,LONGITUDE,PRIMARY_COUNTY,SECONDARY_COUNTY,PRIMARY_WATERSHED_HUC,PRIMARY_WATERSHED_NAME,SMALL_COMMUNITY_IND,AUTHORITY,PRES_EFFLUENT_TREATMENT_LEVEL,PROJ_EFFLUENT_TREATMENT_LEVEL
06009031002,1176067,CA,32,56.7,North City WRP,Treatment Plant,San Diego,32.8813,-117.1989,San Diego,#N/A,18070304,San Diego,N,City of San Diego Metropolitan Wastewater Depart.,Advanced,Advanced
53000335001,1180789,WA,1.3,1.75,Duvall WWTP,Treatment Plant,Duvall,47.733,-121.9874,King,#N/A,17110010,Snoqualmie,N,DUVALL CITY OF,Secondary,Secondary
53001660001,1180986,WA,0.195,0.195,COULEE DAM Sewer,Collection: Separate Sewers,Coulee Dam,47.976,-118.9691,Okanogan,#N/A,17020001,Franklin D. Roosevelt Lake,Y,COULEE DAM town OF,Secondary,Secondary
48001004001,1182873,TX,0.08,0.08,Goldsmith WWTP,Treatment Plant,Goldsmith,31.5857,-102.3657,#N/A,#N/A,#N/A,#N/A,N,GOLDSMITH,Secondary,Secondary
48001117001,1182918,TX,0.35,1.2,La Joya WWTP,Treatment Plant,La Joya,26.2139,-98.4893,Hidalgo,#N/A,12110207,Central Laguna Madre,N,LA JOYA,Secondary,Secondary
48001146001,1182949,TX,1.51,1.51,Raymondville WWTP,Collection: Separate Sewers,Raymondville,26.489917,-97.772806,#N/A,#N/A,#N/A,#N/A,N,RAYMONDVILLE,Secondary,Secondary
48002010001,1183113,TX,0.38,0.38,Abernathy WWTP,Treatment Plant,Lubbock,33.796,-101.854,#N/A,#N/A,#N/A,#N/A,N,ABERNATHY,Secondary,Secondary
48002058001,1183140,TX,0.7,0.7,Post WWTP,Treatment Plant,Sherman,33.601523,-96.573894,#N/A,#N/A,#N/A,#N/A,N,"CITY OF SHERMAN, POST OAK WWTP",Secondary,Secondary
48002061001,1183142,TX,0.152,0.152,Rotan WWTP,Treatment Plant,Rotan,32.851038,-100.462074,#N/A,#N/A,#N/A,#N/A,N,ROTAN,Secondary,Secondary
48009516001,1184517,TX,2.5,5,New Territory Regional (North) WWTP,Treatment Plant,Sugar Land,29.5783,-95.6961,#N/A,#N/A,#N/A,#N/A,N,FORT BEND COUNTY MUD NO. 112,Secondary,Secondary
51000009001,1192591,VA,1,1,LEBANON WWTP & Coll. System,Collection: Separate Sewers,Lebanon,36.911111,-82.040277,Russell,#N/A,06010205,Upper Clinch,N,Town of Lebanon,Secondary,Secondary
51000130001,1192710,VA,3,3,GALAX SEWAGE FACILITY,Storage Facility,Galax,36.6714,-80.9339,Galax,#N/A,05050001,Upper New,N,Galax WWTP,Secondary,Secondary
36003133002,1220577,NY,0.055,0.055,Marlborough (T) Milton STP,Collection: Separate Sewers,Milton,41.65363,-73.95573,#N/A,#N/A,#N/A,#N/A,Y,"MARLBOROUGH, TOWN OF",Secondary,Secondary
36005029001,1220843,NY,2.62,2.62,Saranac Lake (V) STP & San Sewers,Treatment Plant,Saranac Lake,44.347913,-74.114885,Essex,#N/A,04150406,0,Y,"SARANAC LAKE, VILLAGE OF",Secondary,Advanced
36008048005,1221248,NY,0.043,0.043,Savannah (T) WWTP,Treatment Plant,Savannah,43.073333,-76.756389,Wayne,#N/A,04140201,Seneca,N,Savannah (T),Secondary,Secondary
36008061002,1221261,NY,0.5,0.5,Ontario (Co) Honeoye Lake SD WWTP,Treatment Plant,Honeoye,42.791,-77.5151,#N/A,#N/A,#N/A,#N/A,N,HONEOYE LAKE CO SD,Advanced,Advanced
36008160001,1221306,NY,0.061,0.061,Gorham (T) STP,Treatment Plant,Gorham,42.803651,-77.133636,Ontario,#N/A,04140201,Seneca,N,"GORHAM, TOWN OF",Secondary,Secondary
36009031001,1221355,NY,7,7,Olean (C) WWTP,Treatment Plant,Olean,42.069846,-78.43123,Cattaraugus,#N/A,05010001,Upper Allegheny,N,OLEAN (C),Secondary,Secondary
19000886001,1124226,IA,0.43,0.43,WALFORD WWTP,Collection: Separate Sewers,Walford,41.8728,-91.8406,Benton,#N/A,07080208,Middle Iowa,Y,"WALFORD, CITY OF",Secondary,Advanced
16000078001,1128628,ID,0.065,0.065,BOVILL S/T FACILITY,Collection: Combined Sewers,Bovill,46.8556,-116.3981,#N/A,#N/A,#N/A,#N/A,Y,CITY OF BOVILL,Secondary,Secondary
16000153001,1128681,ID,0.08,0.11,FIRTH S/T FACILITY,Collection: Separate Sewers,Firth,43.3088,-112.1921,Bingham,#N/A,17040206,American Falls,Y,CITY OF FIRTH,Secondary,Secondary
16000185001,1128709,ID,2,3.48,HAYDEN AREA REGIONAL S/T FACILITY,Treatment Plant,Hayden,47.7694,-116.8308,#N/A,#N/A,#N/A,#N/A,N,HAYDEN AREA REGIONAL SEWER BOARD,Secondary,Advanced
16000219001,1128740,ID,0.074,0.074,AHSAHKA STP,Treatment Plant,Ahsahka,46.5009,-116.3198,#N/A,#N/A,#N/A,#N/A,Y,AHSAHKA WATER & SEWER DISTRICT,Secondary,Secondary
20000503001,1130327,KS,0.168,0.168,BUHLER WWTP,Treatment Plant,Buhler,38.1264,-97.7708,#N/A,#N/A,#N/A,#N/A,N,"BUHLER, CITY OF",Advanced,Advanced
20001315001,1130584,KS,0.04,0.02,HANSTON WWTP,Collection: Separate Sewers,Hanston,38.1262,-99.705,Hodgeman,#N/A,11030006,Buckner,N,"HANSTON, CITY OF",Secondary,Secondary
20006846001,1130691,KS,0.065,0.065,TROY WEST WWTP (MOSQUITO CRK),Treatment Plant,Troy,39.7873,-95.076,#N/A,#N/A,#N/A,#N/A,N,"TROY, KANSAS",Secondary,Secondary
29001009001,1133239,MO,11,11,Jefferson City WWTP,Collection: Pump Stations,Jefferson City,38.5847,-92.1691,Callaway,#N/A,10300102,Lower Missouri-Moreau,N,City of Jefferson,Advanced,Advanced
29001015001,1133262,MO,7.1,7.1,Marshall WWTP,Treatment Plant,Marshall,39.106,-93.158306,Saline,#N/A,10300104,Blackwater,N,Marshall Municipal Utilities,Advanced,Advanced
29001022001,1133274,MO,27,27,St. Joseph WWTP,Collection: Combined Sewers,Saint Joseph,39.730774,-94.869801,Buchanan,#N/A,10240011,Independence-Sugar,N,City of St. Joseph,Advanced,Advanced
29001066001,1133347,MO,0.06,0.098,Pilot Grove East WWTP,Treatment Plant,Pilot Grove,38.869835,-92.899747,Cooper,#N/A,10300102,Lower Missouri-Moreau,Y,City of Pilot Grove,Advanced,Advanced
29001237034,1133600,MO,0.006,0,Sunnyslope Subd.,Collection: Interceptor Sewers,Hallsville,39.123421,-92.237,Boone,#N/A,10300102,Lower Missouri-Moreau,N,Boone County Regional Sewer District,Advanced,0
29002011001,1133629,MO,0.037,0.037,Clearmont WWTF,Collection: Separate Sewers,Clearmont,40.5006,-95.0366,#N/A,#N/A,#N/A,#N/A,Y,City of Clearmont,Advanced,Advanced
29002480001,1133862,MO,0.044,0.044,Mayview WWTP,Collection: Separate Sewers,Mayview,39.05958,-93.81467,Lafayette,#N/A,10300101,Lower Missouri-Crooked,Y,City of Mayview,Advanced,Advanced
29003715000,1134005,MO,0.04,0.04,Montauk State Park,Collection: Separate Sewers,Salem,37.44788,-91.671857,#N/A,#N/A,#N/A,#N/A,Y,"MDNR, Division of State Parks",Secondary,Secondary
29004052001,1134071,MO,0.85,0.85,Fredericktown WWTP,Treatment Plant,Fredericktown,37.56478,-90.298503,Madison,#N/A,08020202,Upper St. Francis,Y,City of Fredericktown,Advanced,Advanced
21000056001,1139524,KY,46.5,46.5,N KY SD1 - DRY CREEK STP,Collection: Combined Sewers,Erlanger,39.058611,-84.618056,Kenton,#N/A,05090203,Middle Ohio-Laughery,N,N KY Sanitation District No. 1,Secondary,Secondary
21000093001,1139558,KY,0.5,0.75,EMINENCE STP,Collection: Separate Sewers,Eminence,38.3579,-85.1888,#N/A,#N/A,#N/A,#N/A,N,"EMINENCE,CITY OF",Secondary,Secondary
21000203001,1139634,KY,0.11,0.28,CRAB ORCHARD,Treatment Plant,Crab Orchard,37.4636,-84.5024,Lincoln,#N/A,05100205,Lower Kentucky,N,City of Crab Orchard,Secondary,Secondary
23000011001,1142442,ME,14.2,14.2,LEWISTON-AUBURN W W T P,Treatment Plant,Lewiston,44.0756,-70.2044,Androscoggin,#N/A,01040002,Lower Androscoggin,Y,LEWISTON-AUBURN WATER POLLUTIO,Secondary,Secondary
23000048001,1142483,ME,2,2.57,LINCOLN WWTF,Collection: Separate Sewers,Lincoln,45.3749,-68.5072,#N/A,#N/A,#N/A,#N/A,N,LINCOLN SANITARY DISTRICT,Secondary,Secondary
23000089001,1142528,ME,0.75,0.75,FREEPORT WWTF,Collection: Pump Stations,Freeport,43.832413,-70.101522,Cumberland,#N/A,01060001,Presumpscot,N,Freeport Sewer District,Secondary,Secondary
23000101001,1142540,ME,0.19,0.19,NORRIDGEWOCK WWTF,Treatment Plant,Norridgewock,44.720515,-69.793267,Somerset,#N/A,01030003,Lower Kennebec,N,TOWN OF NORRIDGEWOCK,Secondary,Secondary
31001461001,1145954,NE,0.02,0.03,DUNBAR WWTP,Treatment Plant,Dunbar,40.6659,-96.0239,Otoe,#N/A,10240006,Little Nemaha,N,"DUNBAR, VILLAGE OF",Secondary,Secondary
53000420001,1180796,WA,31.3,36.3,Everett WWTP,Treatment Plant,Everett,47.9938,-122.1781,Snohomish,#N/A,17110011,Snohomish,N,EVERETT CITY OF,Secondary,Secondary
53000776001,1180844,WA,122,122,King County South Treatment Plant,Collection: Combined Sewers,Renton,47.4708,-122.243,King,#N/A,17110013,Duwamish,N,King County,Secondary,Advanced
53000795001,1180849,WA,0.67,0.67,MONTESANO WWPCP,Collection: Separate Sewers,Montesano,46.9675,-123.6062,#N/A,#N/A,#N/A,#N/A,N,MONTESANO CITY OF,Secondary,Secondary
53001730001,1180997,WA,0.11,0.11,ENTIAT POTW,Treatment Plant,Entiat,47.675686,-120.206595,#N/A,#N/A,#N/A,#N/A,Y,ENTIAT CITY OF,Secondary,Secondary
53002125001,1181036,WA,0.54,0.54,OKANOGAN S/T FAC.,Treatment Plant,Okanogan,48.3528,-119.594,#N/A,#N/A,#N/A,#N/A,N,OKANOGAN CITY OF,Secondary,Secondary
53002445001,1181070,WA,0.051,0.051,WALLA WALLA WD #2 STP,Treatment Plant,Walla Walla,46.0638,-118.3738,#N/A,#N/A,#N/A,#N/A,N,Walla Walla Water District No. 2,Secondary,Secondary
48000005001,1182793,TX,9.6,9.6,Victoria Regional WWTP,Collection: Separate Sewers,Victoria,28.7552,-97.0009,#N/A,#N/A,#N/A,#N/A,N,Victoria,Secondary,Secondary
48000169001,1182850,TX,0.045,0.045,Texline WWTP,Collection: Separate Sewers,Texline,36.379486,-103.023691,#N/A,#N/A,#N/A,#N/A,N,TEXLINE,Secondary,Secondary
48001008001,1182878,TX,3.8,3.8,Del Rio - San Felipe WWTP,Treatment Plant,Del Rio,29.308056,-100.886111,#N/A,#N/A,#N/A,#N/A,N,CITY OF DEL RIO,Secondary,Secondary
48003066001,1183222,TX,0.25,0.25,CALVERT STP,Collection: Separate Sewers,Calvert,30.9696,-96.6836,#N/A,#N/A,#N/A,#N/A,N,CITY OF CALVERT,Secondary,Secondary
48003114001,1183259,TX,0.08,0.08,Streetman WWTP,Collection: Separate Sewers,Streetman,31.8707,-96.3233,Freestone,#N/A,12030201,Lower Trinity-Tehuacana,N,CITY OF STREETMAN,Secondary,Secondary
48004089001,1183398,TX,0.63,0.63,GTUA-Whitewright WWTP,Collection: Separate Sewers,Whitewright,33.520277,-96.391388,Fannin,#N/A,11140101,Bois D'arc-Island,N,Whitewright (Greater Texoma UA),Secondary,Secondary
48004150001,1183457,TX,0.066,0.066,Sadler WWTP,Treatment Plant,Sadler,33.6829,-96.8585,#N/A,#N/A,#N/A,#N/A,N,CITY OF SADLER,Secondary,Secondary
48004354010,1183525,TX,1.2,1.2,Squabble Creek WWTP,Collection: Separate Sewers,Rockwall,32.9515,-96.468583,#N/A,#N/A,#N/A,#N/A,N,NORTH TEXAS MWD,Secondary,Secondary
48005243001,1183665,TX,0.06,0.06,Diana WWTP,Collection: Separate Sewers,Diana,32.6907,-94.7483,#N/A,#N/A,#N/A,#N/A,N,DIANA SPECIAL UTILITY DISTRICT,Secondary,Secondary
48006043002,1183706,TX,3.3,6,Lumberton MUD WWTP # 2,Collection: Separate Sewers,Lumberton,30.230472,-94.215889,Hardin,#N/A,12020007,Pine Island Bayou,N,Lumberton MUD,Advanced,Advanced
48007524001,1184121,TX,1.3,1.3,Fallbrook UD WWTP,Treatment Plant,Houston,29.946,-95.4214,#N/A,#N/A,#N/A,#N/A,N,FALLBROOK UD,Secondary,Secondary
48007651002,1184195,TX,0.042,0.042,Dime Box WWTP,Collection: Separate Sewers,Houston,30.039313,-95.434684,#N/A,#N/A,#N/A,#N/A,N,HARRIS COUNTY WCID 110,Secondary,Secondary
55000380001,1206069,WI,5.6,5.6,BEAVER DAM WWTP,Treatment Plant,Beaver Dam,43.4442,-88.844,Dodge,#N/A,07090001,Upper Rock,N,BEAVER DAM CITY WWTF,Advanced,Advanced
55000708001,1206102,WI,12.5,12.5,BROOKFIELD - Fox River WPCC,Treatment Plant,Brookfield,43.0524,-88.1764,Waukesha,#N/A,07120006,Upper Fox,N,BROOKFIELD FOX WATER POLLUTION,Advanced,Advanced
55001930001,1206267,WI,0.013,0.013,GLEN FLORA WWTP,Collection: Separate Sewers,Glen Flora,45.49867,-90.89182,Rusk,#N/A,07050001,Upper Chippewa,Y,GLEN FLORA VILLAGE,Advanced,Advanced
55004920001,1206676,WI,0.089,0.089,UNITY STP,Treatment Plant,Unity,44.8375,-90.319,Marathon,#N/A,07040007,Black,Y,"UNITY, VILLAGE OF",Secondary,Secondary
55009631001,1206901,WI,0.3,0.3,GREEN LAKE SD #1 - STP,Treatment Plant,Green Lake,43.8193,-89.0674,Green Lake,#N/A,04030201,Upper Fox,Y,GREEN LAKE SANITARY DISTRICT,Secondary,Secondary
55009669001,1206917,WI,0.018,0.018,KOSSUTH SD #2 STP,Treatment Plant,Francis Creek,44.170528,-87.700083,#N/A,#N/A,#N/A,#N/A,Y,KOSSUTH SANITARY DISTRICT NO 2,Advanced,Advanced
24000090016,1214410,MD,0.06,0.06,SWALLOW FALLS STATE PARK,Treatment Plant,Oakland,39.494,-79.4253,#N/A,#N/A,#N/A,#N/A,N,MARYLAND ENVIRONMENTAL SERVICE,Secondary,Advanced
36001010006,1220251,NY,72,72,NCSD #3 - Cedar Creek STP,Collection: Pump Stations,Wantagh,40.652306,-73.506472,Nassau,#N/A,02030203,Long Island Sound,N,Nassau County,Secondary,Secondary
36001013001,1220260,NY,4,4,North Hempstead (T) Port Washington WPCD,Treatment Plant,Port Washington,40.83944,-73.69721,Nassau,#N/A,02030201,Northern Long Island,N,PORT WASHINGTON WPCD,Advanced,Advanced
36006026001,1220956,NY,0.5,0.5,Cape Vincent (V) STP,Collection: Separate Sewers,Cape Vincent,44.1336,-76.32,#N/A,#N/A,#N/A,#N/A,Y,"CAPE VINCENT, VILLAGE OF",Secondary,Secondary
36006060001,1220978,NY,2,2,Lowville (V) STP,Treatment Plant,Lowville,43.783833,-75.476306,#N/A,#N/A,#N/A,#N/A,N,"LOWVILLE, VILLAGE OF",Advanced,Advanced
36007075001,1221090,NY,2.5,2.5,Norwich (C) STP,Collection: Separate Sewers,Norwich,42.511944,-75.517778,Chenango,#N/A,02050102,Chenango,Y,"NORWICH, CITY OF",Secondary,Advanced
36009090001,1221437,NY,3.5,3.5,Grand Island (T) STP SD #2,Collection: Separate Sewers,Grand Island,43.05739,-78.96687,#N/A,#N/A,#N/A,#N/A,N,"GRAND ISLAND, TOWN OF",Advanced,Advanced
48008023001,1227937,TX,0.2,0.2,Marion WWTP,Collection: Separate Sewers,Marion,29.5649,-98.1436,#N/A,#N/A,#N/A,#N/A,N,CITY OF MARION,Secondary,Secondary
48008036001,1227938,TX,0.26,0.285,Yorktown WWTP,Collection: Separate Sewers,Yorktown,28.97175,-97.50075,#N/A,#N/A,#N/A,#N/A,N,CITY OF YORKTOWN,Secondary,Secondary
55002070001,1229182,WI,3.6,3.6,HARTFORD WPCF,Treatment Plant,Hartford,43.3303,-88.4106,Washington,#N/A,07090001,Upper Rock,N,HARTFORD WATER POLLUTION CTRL,Advanced,Advanced
55002220001,1229184,WI,2.2,2.2,HUDSON WWTP,Biosolids Handling Facility,Hudson,44.966498,-92.756109,St. Croix,#N/A,07030005,Lower St. Croix,N,HUDSON CITY WWTF,Advanced,Advanced
31000907001,1230201,NE,0.008,0.006,SALEM SEPTIC TANKS,Treatment Plant,Salem,40.074131,-95.720615,#N/A,#N/A,#N/A,#N/A,N,"SALEM, VILLAGE OF",Secondary,Secondary
31001610001,1230233,NE,0.23,0.23,MILFORD WWTP,Treatment Plant,Milford,40.7742,-97.0504,#N/A,#N/A,#N/A,#N/A,N,MILFORD WWTF,Advanced,Advanced
27000138001,1231493,MN,0.35,0.35,VERMILLION WWTP,Treatment Plant,Vermillion,44.6778,-92.9644,#N/A,#N/A,#N/A,#N/A,Y,VERMILLION,Secondary,Secondary
27000352001,1231508,MN,2.36,2.36,MONTICELLO WWTP,Treatment Plant,Monticello,45.2979,-93.776,Wright,#N/A,07010203,Clearwater-Elk,N,MONTICELLO,Secondary,Secondary
48001114001,1227764,TX,5.9,11,Edinburg WWTP,Treatment Plant,Edinburg,26.309177,-98.136498,Hidalgo,#N/A,12110208,South Laguna Madre,N,EDINBURG,Advanced,Advanced
48003071001,1227813,TX,0.73,0.73,Comanche WWTP,Collection: Separate Sewers,Comanche,31.8932,-98.5928,#N/A,#N/A,#N/A,#N/A,N,COMANCHE,Secondary,Secondary
48003089001,1227819,TX,0.25,0.25,Hubbard WWTP,Treatment Plant,Hubbard,31.835521,-96.792548,#N/A,#N/A,#N/A,#N/A,N,HUBBARD,Secondary,Secondary
48005020002,1227871,TX,8,8,Marshall WWTP,Collection: Interceptor Sewers,Marshall,32.4898,-94.3342,Harrison,#N/A,12010002,Middle Sabine,N,CITY OF MARSHALL - SOUTHSIDE,Secondary,Secondary
48007198001,1227918,TX,0.5,0.5,Arcola WWTP,Treatment Plant,Galveston,29.4972,-95.4621,#N/A,#N/A,#N/A,#N/A,N,CITY OF ARCOLA,Secondary,Secondary
55001570001,1229169,WI,0.358,0.5,ELLSWORTH WWTP,Biosolids Handling Facility,Ellsworth,44.7299,-92.458,Pierce,#N/A,07040001,Rush-Vermillion,Y,"ELLSWORTH, VILLAGE OF",Advanced,Advanced
31000610001,1230191,NE,0.17,0.17,CREIGHTON WWTP,Collection: Separate Sewers,Creighton,42.4719,-97.9042,Knox,#N/A,10170101,Lewis And Clark Lake,N,CREIGHTON WWTF,Advanced,Advanced
31001885001,1230240,NE,0.1,0.1,OXFORD WWTP,Collection: Separate Sewers,Oxford,40.1449,-99.3812,Furnas,#N/A,10250011,Lower Sappa,N,Village of Oxford,Secondary,Secondary
20001611001,1230951,KS,0.103,0.103,LEON WWTP,Treatment Plant,Leon,37.6859,-96.7773,#N/A,#N/A,#N/A,#N/A,N,"LEON, CITY OF",Secondary,Secondary
27000353001,1231509,MN,0.781,0.781,MONTROSE WWTP,Collection: Separate Sewers,Montrose,45.0569,-93.9027,#N/A,#N/A,#N/A,#N/A,Y,MONTROSE,Advanced,Advanced
17001812001,1232731,IL,0.85,0.72,ANNA STP,Treatment Plant,Anna,37.4764,-89.2364,#N/A,#N/A,#N/A,#N/A,N,"ANNA STP, CITY OF",Advanced,Advanced
18004695001,1234209,IN,0.6,0.6,WARREN WWTP,Collection: Combined Sewers,Warren,40.684,-85.4308,#N/A,#N/A,#N/A,#N/A,Y,LEE POULSON,Advanced,Advanced
18005253001,1234218,IN,0.07,0.07,WINSLOW WWTP,Treatment Plant,Winslow,38.3797,-87.2167,Pike,#N/A,05120209,Patoka,Y,WINSLOW MUNICIPAL STP,Secondary,Secondary
19000362001,1234659,IA,1.374,1.374,HAMPTON WWTP,Treatment Plant,Hampton,42.7416,-93.1931,Franklin,#N/A,07080204,West Fork Cedar,Y,HAMPTON CITY OF,Advanced,Advanced
19000877001,1234688,IA,0.2,0.2,VICTOR WASTEWATER,Collection: Separate Sewers,Victor,41.7333,-92.3114,Poweshiek,#N/A,07080208,Middle Iowa,Y,VICTOR TOWN OF,Secondary,Advanced
47001130001,1235069,TN,0.254,0.254,PIKEVILLE WWTP,Treatment Plant,Pikeville,35.5951,-85.196,#N/A,#N/A,#N/A,#N/A,N,"PIKEVILLE, CITY OF",Advanced,Advanced
51000047001,1235955,VA,0.24,0.24,BUCHANAN STP,Collection: Pump Stations,Buchanan,37.52836,-79.66899,Botetourt,#N/A,02080201,Upper James,N,Town of Buchanan,Secondary,Secondary
31001467001,1145957,NE,0.04,0.04,OTOE WWTP,Collection: Separate Sewers,Otoe,40.725,-96.1167,Otoe,#N/A,10240001,Keg-Weeping Water,N,Village of Otoe,Secondary,Secondary
31002185001,1146040,NE,2.31,2.31,SCOTTS BLUFF WWTP,Collection: Separate Sewers,Scottsbluff,41.8378,-103.6067,Scotts Bluff,#N/A,10180009,Middle North Platte-Scotts Bluff,N,City of Scottsbluff,Advanced,Advanced
27001503001,1148216,MN,0.106,0.106,BARRETT WWTP,Biosolids Handling Facility,Barrett,45.90065435,-95.89602302,Grant,#N/A,07020002,Pomme De Terre,Y,"BARRETT, CITY OF",Advanced,Advanced
27002201001,1148259,MN,0.061,0.061,LONGVILLE WWTP,Treatment Plant,Longville,46.9875,-94.2039,#N/A,#N/A,#N/A,#N/A,Y,"LONGVILLE, CITY OF",Advanced,Advanced
27002601001,1148263,MN,0.18,0,KEEWATIN WWTP,Collection: Separate Sewers,Keewatin,47.3935,-93.0732,#N/A,#N/A,#N/A,#N/A,Y,"KEEWATIN, CITY OF",Advanced,0
27003704001,1148304,MN,0.03,0.03,BELLINGHAM WWTF,Treatment Plant,Bellingham,45.1262462,-96.28778801,#N/A,#N/A,#N/A,#N/A,N,"BELLINGHAM, CITY OF",Secondary,Secondary
