"Facility Name","NPDES ID","City","State","CWNS","Amount of Biosolids Generated","Management Practice Type(s)","Amount of Biosolids Managed - Land Applied","Amount of Biosolids Managed - Surface Disposal","Amount of Biosolids Managed - Incinerated","Amount of Biosolids Managed - Other Management Practice","Pathogen Class(es)"
"OSO WWTP","TX0047058","CORPUS CHRISTI","TX","48001203004","2477.22","Other Management Practice","","","","2447.22","Not Applicable"
"CITY OF GARLAND","TX0024678","SUNNYVALE","TX","48004031001","6768.26","Other Management Practice","","","","6768.26","Not Applicable"
"CITY OF GARLAND ROWLETT CREEK WWTF","TX0024686","GARLAND","TX","48004031002","1821.91","Other Management Practice","","","","1821.91","Not Applicable"
"CITY OF BONHAM WWTP","TX0021814","BONHAM","TX","48005049001","25.51314","Other Management Practice","","","","25.51314","Class B"
"CITY OF ROXTON WWTP","TX0053538","ROXTON","TX","48005262001","0","Other Management Practice","","","","","Not Applicable"
"POLLARD CREEK WWTP","TX0047414","MINERAL WELLS","TX","48004374001","571.43","Other Management Practice","","","","571.43","Class B"
"WILLOW CREEK WWTP","TX0023779","MINERAL WELLS","TX","48004374003","17.3","Other Management Practice","","","","17.3","Class B"
"CITY OF JOURDANTON WWTP","TX0082589","JOURDANTON","TX","48008067001","88.6","Other Management Practice","","","","88.6","Class B"
"GRANDVIEW WWTP","TX0024503","GRANDVIEW","TX","48004094001","6.464","Other Management Practice","","","","6.46","Class B"
"CROSBY MUD WWTF","TX0054151","CROSBY","TX","48007035001","0","Other Management Practice","","","","50.4","Class B"
"ELGIN WWTP","TX0073946","ELGIN","TX","48008035001","0.0159","Land Application","177.5008","","","","Class A"
"CITY OF RIO GRANDE CITY - WWTP","TX0068764","RIO GRANDE CITY","TX","48002163002","1554","Surface Disposal","","1554","","","Class B"
"CITY OF NAVASOTA OLD WWTP","TX0071790","NAVASOTA","TX","48003103001","636.61","Other Management Practice","","","","636.58","Class B"
"CITY OF GRUVER WWTP","TX0023604","GRUVER","TX","48000124001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF NIXON WWTP","TX0070785","NIXON","TX","48008039001","103","Other Management Practice","","","","103","Not Applicable"
"CITY OF COMMERCE WWTF","TX0020591","COMMERCE","TX","48005024001","558.56","Other Management Practice","","","","558.56","Not Applicable"
"CLYDE WWTP","TX0105201","CLYDE","TX","48002039001","60.3","Other Management Practice","","","","60.3","Class B"
"MAIN PLANT WWTF","TX0022926","PORT NECHES","TX","48006010001","651","Other Management Practice","","","","651","Class B"
"BROOKSHIRE MWD WWTF","TX0025046","BROOKSHIRE","TX","48007295001","81.939","Land Application","81.939","","","","Class B"
"CITY OF ARCOLA WWTP","TX0102385","ARCOLA","TX","48007198001","25.67","Land Application","25.67","","","","Class B"
"FAIRGREEN WWTP","TX0071382","HOUSTON","TX","48001288001","79.89","Land Application","79.89","","","","Class B"
"FT BEND COUNTY MUD 34 WWTP","TX0085448","HOUSTON","TX","48007222001","59.214","Land Application","59.214","","","","Class B"
"GREEN TRAILS MUD WWTP","TX0085332","HOUSTON","TX","48007165001","57.09921","Land Application","57.099","","","","Class B"
"HARRIS CO MUD 200 WWTP","TX0085413","HOUSTON","TX","48007159001","106.67","Land Application","106.67","","","","Class B"
"HARRIS COUNTY MUD 130 WWTP","TX0091316","HOUSTON","TX","48001117003","33.21","Land Application","33.21","","","","Class B"
"CITY OF BAY CITY WWTP","TX0034461","BAY CITY","TX","48001217001","342.15","Other Management Practice","","","","342.15","Class B"
"CITY OF DODD CITY WWTP","TX0057169","DODD CITY","TX","48005062001","0","Other Management Practice","","","","","Not Applicable"
"HARRIS COUNTY MUD 36 WWTP","TX0084085","HOUSTON","TX","48007184001","9.95","Land Application","9.95","","","","Class B"
"STILL CREEK WWTP","TX0025071","BRYAN","TX","48003040002","524.17","Surface Disposal","","1","","","Class B"
"HARRIS COUNTY WCID 113 WWTP","TX0062049","HOUSTON","TX","48007652001","12.85","Land Application","12.85","","","","Class B"
"CENTRAL WWTP","TX0094927","PFLUGERVILLE","TX","48003035002","42941.02","Other Management Practice","","","","42941.02","Class A"
"MONTGOMERY COUNTY MUD 15-WWTP","TX0022055","HOUSTON","TX","48007802001","115","Land Application","115","","","","Class B"
"CITY OF MERIDIAN WWTF 2","TX0053678","MERIDIAN","TX","48003100002","189.09","Land Application","189","","","","Class B"
"MONTGOMERY COUNTY MUD 24 WWTP","TX0071412","HOUSTON","TX","48007807001","28.95","Land Application","28.95","","","","Class B"
"NORTH PARK PUD WWTP","TX0072567","HOUSTON","TX","48007700001","92.805","Land Application","92.805","","","","Class B"
"OAKWILDE WWTP","TX0021253","HOUSTON","TX","48001288006","82.21","Land Application","82.21","","","","Class B"
"RAYFORD ROAD MUD WWTP","TX0078263","HOUSTON","TX","48007820001","70.97","Land Application","70.97","","","","Class B"
"SPRING CREEK UD WWTP","TX0026221","HOUSTON","TX","48007830001","69.97","Land Application","69.97","","","","Class B"
"WESLACO NORTH WWTP","TX0052787","WESLACO","TX","48001124001","288.56","Other Management Practice","","","","288.56","Class B"
"WESLACO SOUTH WWTP","TX0116394","WESLACO","TX","48001124002","174.83","Other Management Practice","","","","174.83","Class B"
"WILLOWOOD WWTP","TX0020788","BELLAIRE","TX","48007146001","332.79","Land Application","332.79","","","","Class B"
"ROYSE CITY WWTF","TX0021687","ROYSE CITY","TX","48004109001","0","Other Management Practice","","","","","Not Applicable"
"BULL HIDE CREEK WWTP","TX0129437","WACO","TX","48003030003","275","Other Management Practice","","","","275","Not Applicable"
"NB DAVIDSON WWTF","TX0022373","HUNTSVILLE","TX","48006020002","104.85","Other Management Practice","","","","104.85","Class A"
"ROBINSON CREEK WWTP","TX0116572","HUNTSVILLE","TX","48006020004","120.04","Other Management Practice","","","","120.04","Class A"
"CLOVERDALE, CITY OF","CAL022977","CLOVERDALE","CA","06001035001","147","Land Application","147","","","","Class B"
"CITY OF CASTROVILLE WWTF","TX0129364","CASTROVILLE","TX","48008053001","46.81","Surface Disposal","","46.81","","","Class B"
"CITY OF PILOT POINT WWTP","TX0022659","PILOT POINT","TX","48004057001","628.57","Other Management Practice","","","","628.57","Class B"
"EAST CEDAR CREEK FWSD NORTH WWTP","TX0074861","MAYBANK","TX","48005177001","278","Other Management Practice","","","","278","Class B"
"CITY OF CARRIZO SPRINGS WWTP","TX0025976","CARRIZO SPRINGS","TX","48001128001","83.19","Other Management Practice","","","","83.19","Class B"
"SOUTH MISSION 1 WWTP","TX0070017","MISSION","TX","48001121001","1196.56","Other Management Practice","","","","1196.56","Class B"
"VAN VLECK WWTP","TX0024155","VAN VLECK","TX","48001245001","0","Other Management Practice","","","","","Not Applicable"
"MERCEDES WASTE WATER TREATMENT FACILITY","TX0021547","MERCEDES","TX","48001120001","752.42","Other Management Practice","","","","752.42","Class B"
"STP 2A WWTP","TX0055123","NACOGDOCHES","TX","48006022001","913","Other Management Practice","","","","913","Class B"
"CITY OF RENO WWTF","TX0082309","RENO","TX","48005095001","20","Other Management Practice","","","","20","Class A"
"CITY OF PHARR WWTP","TX0062219","PHARR","TX","48001122001","1050.8","Land Application","1050.8","","","","Class B"
"SINTON MAIN WWTP","TX0024562","SINTON","TX","48001213001","71","Land Application","71","","","","Class A"
"EL PASO COUNTY WCID 4 WWTP","TX0065013","FABENS","TX","48001012001","346.73","Other Management Practice","","","","346.73","Not Applicable"
"SLAYTER CREEK WWTP","TX0056677","ANNA","TX","48004002001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF WEIMAR WWTP","TX0025917","WEIMAR","TX","48008082001","0","Other Management Practice","","","","","Not Applicable"
"HONDO WWTP","TX0087751","HONDO","TX","48008066001","175.82","Other Management Practice","","","","175.82","Class B"
"CITY OF RISING STAR WWTP","TX0075604","RISING STAR","TX","48003108001","13.97","Other Management Practice","","","","13.97","Not Applicable"
"HAMBY WATER RECLAMATION WWTP","TX0023973","ABILENE","TX","48002031001","2467","Surface Disposal","","2467","","","Class B"
"SUNRAY WWTP","TX0132608","SUNRAY","TX","48000166001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF EDGEWOOD WWTF","TX0023710","EDGEWOOD","TX","48005066001","14.66","Other Management Practice","","","","14.66","Not Applicable"
"CITY OF ALPINE MUNICIPAL WWTF","TX0022985","ALPINE","TX","48001027001","119.83","Other Management Practice","","","","119.83","Not Applicable"
"CITY OF ZAVALLA WWTF","TX0118991","ZAVALLA","TX","48006074001","0","Other Management Practice","","","","","Not Applicable"
"TOWN OF REFUGIO WWTP","TX0032492","REFUGIO","TX","48001222001","35","Land Application","35","","","","Class B"
"CITY OF SAN JUAN WWTP","TX0057592","SAN JUAN","TX","48001123001","477.16","Other Management Practice","","","","477.16","Class B"
"CITY OF GEORGE WEST WWTP","TX0132799","GEORGE ST","TX","48001235001","180.03","Land Application","180.03","","","","Class B"
"CITY OF HOLLIDAY WWTP","TX0025755","HOLLIDAY","TX","48004370001","0","Other Management Practice","","","","","Not Applicable"
"SNYDER WATER RECLAMATION PLANT","TX0047899","SNYDER","TX","48002017001","457.54","Other Management Practice","","","","457.54","Not Applicable"
"GROESBECK WWTP","TX0054445","GROESBECK","TX","48003046001","18.05","Other Management Practice","","","","18.05","Not Applicable"
"SULPHUR SPRINGS WWTF","TX0058955","SULPHUR SPRINGS","TX","48005022004","560.81","Other Management Practice","","","","549.81","Class B"
"COTTON BAYOU WWTP","TX0053317","MONT BELVIEU","TX","48007063002","156.65","Other Management Practice","","","","156.65","Not Applicable"
"CITY OF LOVELADY WWTP","TX0027138","LOVELADY","TX","48006056001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF BRIDGE CITY","TX0025500","BRIDGE CITY","TX","48006013001","163.36","Other Management Practice","","","","163.36","Class B"
"WACO METROPOLITAN AREA REGIONAL SEWARGE SYSTEM ","TX0026506","WACO","TX","48000001003","4166","Land Application, Other Management Practice","3423","","","743","Class A, Not Applicable"
"CITY OF SPRINGTOWN WWTP","TX0032646","SPRINGTOWN","TX","48004226001","502","Other Management Practice","","","","502","Class B"
"REFUGIO COUNTY WCID 1","TX0054101","TIVOLI","TX","48001249001","0","Other Management Practice","","","","","Class A"
"CITY OF VAN WWTF","TX0054071","VAN","TX","48005101001","21","Other Management Practice","","","","21","Not Applicable"
"CITY OF WHITEWRIGHT WWTP","TX0033294","WHITEWRIGHT","TX","48004089001","137.81","Other Management Practice","","","","137.81","Class A"
"CITY OF EASTLAND WWTF","TX0024007","EASTLAND","TX","48003075001","1250933","Other Management Practice","","","","1250933","Not Applicable"
"JOHNSON CITY MUNICIPAL WWTP","TX0052973","JOHNSON CITY","TX","48009023001","63.152","Other Management Practice","","","","136.17","Class B"
"CITY OF SAN MARCOS WWTF","TX0047945","SAN MARCOS","TX","48008029001","2517.13","Surface Disposal","","2512","","","Class B"
"CITY OF AVERY WWTP","TX0053503","AVERY","TX","48005041001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF BECKVILLE WWTP","TX0057215","BECKVILLE","TX","48005044001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF NAPLES WWTP","TX0024457","NAPLES","TX","48005088001","0","Other Management Practice","","","","","Not Applicable"
"MADISONVILLE WWTP","TX0026662","MADISONVILLE","TX","48003096001","96","Other Management Practice","","","","96","Not Applicable"
"WATER RECLAMATION WWTF","TX0085740","CEDAR PARK","TX","48003275001","479.84","Other Management Practice","","","","479.84","Not Applicable"
"BROADDUS WWTP","TX0057673","BROADDUS","TX","48006064001","0","Other Management Practice","","","","","Class B"
"CITY OF JUNCTION WWTP","TX0021075","JUNCTION","TX","48009024001","0","Other Management Practice","","","","","Not Applicable"
"HEMPHILL WWTP","TX0060801","HEMPHILL","TX","48006044001","66","Other Management Practice","","","","66","Class B"
"CITY OF WELLS WWTP","TX0071021","WELLS","TX","48005258001","7.3","Other Management Practice","","","","7.3","Class B"
"CITY OF NEWTON WWTF","TX0133205","NEWTON","TX","48006057001","9.2","Other Management Practice","","","","9.2","Class B"
"CITY OF QUITMAN WWTF","TX0022748","QUITMAN","TX","48005094001","29.53","Other Management Practice","","","","29.53","Class B"
"MINEOLA WWTF","TX0021393","MINEOLA","TX","48005026001","97.15","Other Management Practice","","","","97.15","Not Applicable"
"CITY OF TALCO WWTF","TX0021105","TALCO","TX","48005098001","1.9","Other Management Practice","","","","1.9","Class A"
"CITY OF WILLS POINT WWTP","TX0020346","WILLS POINT","TX","48005104001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF EDEN WWTP","TX0079804","EDEN","TX","48009046001","2.45","Other Management Practice","","","","2.45","Not Applicable"
"ALOE FIELD WWTF","TX0023477","VICTORIA","TX","48001294001","7.83","Other Management Practice","","","","7.83","Class B"
"CITY OF MATHIS WWTF","TX0020419","MATHIS","TX","48001210001","131.35","Other Management Practice","","","","131.35","Class A"
"MARKHAM MUD WWTP","TX0134309","MARKHAM","TX","48001275001","20.5","Other Management Practice","","","","20.5","Not Applicable"
"CITY OF WASKOM WWTF","TX0020036","WASKOM","TX","48005107001","7.28","Other Management Practice","","","","7.28","Class A"
"DOE BRANCH REG WATER REC PLANT","TX0125172","LEWISVILLE","TX","48001132003","911.99","Other Management Practice","","","","911.99","Not Applicable"
"RIVERBEND REG WATER RECLAMATION FACILITY","TX0123781","LEWISVILLE","TX","48001132002","877.93","Other Management Practice","","","","877.93","Not Applicable"
"FORT BEND COUNTY WCID  2","TX0021458","STAFFORD","TX","48007071001","975.25","Other Management Practice","","","","975.25","Class B"
"ALLENS CREEK WWTF","TX0025054","SEALY","TX","48007413001","41.74","Land Application","41.74","","","","Class B"
"LITTLE CEDAR BAYOU WWTP","TX0022799","LA PORTE","TX","48007043001","669.99","Other Management Practice","","","","669.99","Class A"
"MAIN WWTF","TX0098345","OZONA","TX","48001007001","0","Other Management Practice","","","","","Not Applicable"
"LEON CREEK WATER RECYCLING CENTER","TX0052639","SAN ANTONIO","TX","48008015003","0","Other Management Practice","","","","","Not Applicable"
"MEDIO CREEK WATER RECYC. CTR.","TX0055689","SAN ANTONIO","TX","48008015004","0","Other Management Practice","","","","","Not Applicable"
"CITY OF SONORA WWTP","TX0023191","SONORA","TX","48009077001","187.11","Other Management Practice","","","","187.11","Not Applicable"
"CITY OF LOS FRESNOS WWTP","TX0091243","LOS FRESNOS","TX","48001106001","44.11","Land Application","44.11","","","","Class B"
"GANADO WWTP","TX0026026","GANADO","TX","48001234001","75.6","Other Management Practice","","","","75.6","Class B"
"AIRPORT WWTF","TX0027791","GALVESTON","TX","48007027002","172","Other Management Practice","","","","172","Not Applicable"
"CITY OF GALVESTON MAIN WWTP","TX0047309","GALVESTON","TX","48007027001","5575.36","Other Management Practice","","","","5575.36","Not Applicable"
"TERRAMAR WWTP","TX0066125","GALVESTON","TX","48007027007","27.3","Other Management Practice","","","","27.3","Not Applicable"
"SAVOY WWTP","TX0023299","SAVOY","TX","48005097001","5","Other Management Practice","","","","5","Class A EQ"
"PIRATES BEACH WWTP","TX0126977","GALVESTON","TX","48007479001","19.2","Other Management Practice","","","","19.2","Not Applicable"
"CITY OF CLARKSVILLE WWTP","TX0058106","CLARKSVILLE","TX","48005027001","10.2","Other Management Practice","","","","10.2","Class A"
"BURTON CREEK WWTP","TX0022616","BRYAN","TX","48003040001","773.91","Surface Disposal","","1","","","Class B"
"STEVEN M CLOUSE WATER RECYCLING CENTER","TX0077801","SAN ANTONIO","TX","48008015001","37852.38","Other Management Practice","","","","23851.54","Class A"
"CITY OF HOOKS WWTF","TX0022969","HOOKS","TX","48005002001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF ORANGE GROVE WWTP","TX0020397","ORANGE GROVE","TX","48001238001","13","Other Management Practice","","","","","Class A"
"AGUA DULCE WWTF","TX0033367","AQUA DULCE","TX","48001201001","0","Other Management Practice","","","","","Class A"
"ROBERT T. SAVELY WATER RECLAMATION","TX0022543","HOUSTON","TX","48007069001","535","Other Management Practice","","","","535","Not Applicable"
"CITY OF COLLINSVILLE WWTP","TX0034410","COLLINSVILLE","TX","48004077001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF MENARD WWTP","TX0025712","MENARD","TX","48009009001","12.63","Surface Disposal","","12.663","","","Class B"
"WEST AGUA WWTP","TX0125598","PALMVIEW","TX","48002020001","4.92","Other Management Practice","","","","4.92","Class B"
"CITY OF FRANKSTON WWTF","TX0033456","FRANKSTON","TX","48005072001","1.22","Other Management Practice","","","","1.22","Not Applicable"
"TOWN OF LITTLE ELM WWTF","TX0053783","LITTLE ELM","TX","48004056001","507.55","Surface Disposal","","507.55","","","Class B"
"WALNUT BRANCH WWTP","TX0022365","SEGUIN","TX","48008025001","700.38","Other Management Practice","","","","700.38","Class B"
"RED OAK CREEK REGIONAL WWTP","TX0104345","ARLINGTON","TX","48000004006","714","Other Management Practice","","","","714","Not Applicable"
"CITY OF CROWELL WWTP","TX0023370","CROWELL","TX","48000133001","7.93","Other Management Practice","","","","7.93","Not Applicable"
"CITY OF GRANBURY WWTP","TX0105210","GRANBURY","TX","48003084001","288.81","Other Management Practice","","","","288.81","Class B"
"NORTH MUSTANG ISLAND WWTP","TX0024287","PORT ARANSAS","TX","48001205001","947.52","Surface Disposal","","947.52","","","Class B"
"JACKSON STREET WWTP","TX0073423","ORANGE","TX","48006015001","387.78","Other Management Practice","","","","387.78","Class B"
"CITY OF VERNON WWTF","TX0023001","VERNON","TX","48000115001","154.6","Other Management Practice","","","","154.6","Not Applicable"
"CITY OF MEGARGEL WWTP","TX0092541","MEGARGEL","TX","48004367001","0","Other Management Practice","","","","","Class A"
"CITY OF BELLS WWTP","TX0053368","BELLS","TX","48004076001","68.91","Other Management Practice","","","","68.91","Not Applicable"
"WAGNER CREEK WWTP","TX0099287","TEXARKANA","TX","48005006006","335.01","Other Management Practice","","","","335.01","Not Applicable"
"CITY OF TEXARKANA SOUTH REGIONAL WWTP","TX0101800","TEXARKANA","TX","48005006001","4099.04","Other Management Practice","","","","4099.04","Class A"
"CITY OF WEST TAWAKONI WWTF","TX0064513","WEST TAWAKONI","TX","48005102001","0.82","Other Management Practice","","","","0.82","Not Applicable"
"CITY OF UVALDE WWTF","TX0023094","UVALDE","TX","48008030001","364.56","Other Management Practice","","","","364.5606","Class B"
"CITY OF ELSA WWTP","TX0104990","ELSA","TX","48001115001","99.69","Other Management Practice","","","","99.69","Class B"
"BLACKHAWK REGIONAL WWTP","TX0069728","HOUSTON","TX","48007064008","726.23","Other Management Practice","","","","726.23","Not Applicable"
"CITY OF COTULLA WWTP","TX0027499","COTULLA","TX","48001139001","105.51","Other Management Practice","","","","105.51","Class B"
"HARRIS COUNTY WCID 1 WWTP","TX0023311","HIGHLANDS","TX","48007038001","154.53","Other Management Practice","","","","154.53","Class B"
"CITY OF SAN SABA  WWTP","TX0021296","SAN SABA","TX","48009033001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF PRESIDIO WWTF","TX0128481","PRESIDIO","TX","48001053001","0","Other Management Practice","","","","","Not Applicable"
"WINNIE - STOWELL WWTF","TX0020460","STOWELL","TX","48007300001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF BANDERA WWTP","TX0022390","BANDERA","TX","48008050001","382","Other Management Practice","","","","382","Not Applicable"
"GERONIMO CREEK WWTP","TX0103535","SEGUIN","TX","48008025002","886.76","Other Management Practice","","","","886.76","Class B"
"FORT BEND MUD 26 WWTP","TX0078891","HOUSTON","TX","48007460001","177.44","Other Management Practice","","","","177.44","Class B"
"VICTORIA COUNTY WCID 1 WWTF","TX0122246","BLOOMINGTON","TX","48001295001","9.54","Other Management Practice","","","","9.54","Class A"
"LYNN BAYOU WWTF","TX0047562","PORT LAVACA","TX","48001220001","390.87","Other Management Practice","","","","390.87","Not Applicable"
"CITY OF HACKBERRY WWTP","TX0103276","FRISCO","TX","48004330001","1125.2","Other Management Practice","","","","1125.2","Class B"
"SOUTHSIDE WWTF","TX0055484","BROWNSVILLE","TX","48001102001","1139","Surface Disposal","","1139","","","Class B"
"DALLAS SALMON WWTP","TX0085618","LEAGUE CITY","TX","48007031001","1592.115","Other Management Practice","","","","1592.115","Not Applicable"
"CITY OF FLORENCE WWTP","TX0078247","FLORENCE","TX","48003053001","43","Other Management Practice","","","","43","Class B"
"BRADY WWTP","TX0034312","BRADY","TX","48009008001","112.64","Other Management Practice","","","","112.64","Class B"
"NEW BROADWAY WWTF","TX0047066","CORPUS CHRISTI","TX","48001203005","553.61","Other Management Practice","","","","553.61","Not Applicable"
"CITY OF FRANKLIN WWTP","TX0021318","FRANKLIN","TX","48003078001","0","Other Management Practice","","","","","Not Applicable"
"ALLISON WWTP","TX0047082","CORPUS CHRISTI","TX","48001203006","451.26","Other Management Practice","","","","451.26","Not Applicable"
"GRACE CREEK WWTP","TX0022217","LONGVIEW","TX","48005019001","1944.53","Other Management Practice","","","","1944.53","Class B"
"LAGUNA MADRE WWTP","TX0047104","CORPUS CHRISTI","TX","48001203008","113.44","Other Management Practice","","","","113.44","Not Applicable"
"CITY OF MULLIN WWTF","TX0119008","MULLIN","TX","48003135001","0","Other Management Practice","","","","","Class B"
"RHOME WWTF","TX0024783","RHOME","TX","48004223001","11.58","Other Management Practice","","","","11.58","Not Applicable"
"CITY OF MASON WWTP","TX0071111","MASON","TX","48009163001","0","Other Management Practice","","","","","Not Applicable"
"SOUTH KUEHLER WWTF","TX0067881","NEW BRAUNFELS","TX","48008028001","690.63","Other Management Practice","","","","690.63","Not Applicable"
"MORGAN'S POINT RESORT WWTF","TX0126551","MORGAN'S POINT RESORT","TX","48003143001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF HIDALGO WWTP","TX0058386","HIDALGO","TX","48001116001","166.47","Land Application","166.47","","","","Class B"
"CITY OF GARRISON WWTP","TX0076503","GARRISON","TX","48006029001","1.4","Other Management Practice","","","","1.4","Class B"
"CITY OF GRAPELAND WASTEWATER TREATMENT FACILITY","TX0055239","GRAPELAND","TX","48006185001","9.6","Other Management Practice","","","","9.6","Class B"
"CITY OF ELKHART WWTP","TX0022578","ELKHART","TX","48005067001","0","Other Management Practice","","","","","Class B"
"CITY OF HUNTINGTON WWTF","TX0053422","HUNTINGTON","TX","48006052001","3.76","Other Management Practice","","","","3.76","Class B"
"CITY OF PINELAND WWTP","TX0027154","PINELAND","TX","48006058001","48.7","Other Management Practice","","","","48.7","Class B"
"BEAR CREEK WWTP","TX0127345","LAVON","TX","48004354019","87.74","Other Management Practice","","","","87.74","Not Applicable"
"CITY OF GRAND SALINE WWTF","TX0027545","GRAND SALINE","TX","48005036001","8","Other Management Practice","","","","8","Not Applicable"
"CITY OF SOUTH HOUSTON","TX0057304","HOUSTON","TX","48007051001","325.87","Land Application","325.87","","","","Class B"
"CITY OF ROCKDALE WWTP","TX0027197","ROCKDALE","TX","48003110001","1985.6","Other Management Practice","","","","1986","Not Applicable"
"HOLLYWOOD ROAD WWTP","TX0025810","AMARILLO","TX","48000105005","1171","Other Management Practice","","","","1171","Class B"
"ROBINDALE WWTP","TX0071340","BROWNSVILLE","TX","48001102002","1271","Surface Disposal","","1271","","","Class B"
"LITTLE RIVER WWTF","TX0020257","LITTLE RIVER ACADEMY","TX","48003140002","0.89","Other Management Practice","","","","0.89","Class B"
"ACADEMY WWTF","TX0020249","LITTLE RIVER-ACADEMY","TX","48003140001","0.414","Other Management Practice","","","","0.414","Class B"
"FARMERSVILLE WWTP 1","TX0076091","FARMERSVILLE","TX","48004006001","66.18","Other Management Practice","","","","66.18","Not Applicable"
"PECAN CREEK WATER RECLAMATION PLANT","TX0047180","DENTON","TX","48004048001","4158.6","Land Application","4158","","","","Class A"
"FARMERSVILLE WWTP  2","TX0103497","FARMERSVILLE","TX","48004006002","25.15","Other Management Practice","","","","25.15","Not Applicable"
"FLOYD BRANCH REGIONAL WWTP","TX0023931","WYLIE","TX","48004354011","367.2","Other Management Practice","","","","367.2","Not Applicable"
"CITY OF CRYSTAL CITY","TX0053392","SABINAL","TX","48001140001","29.43","Other Management Practice","","","","29.43","Class B"
"GRUENE ROAD WATER  RECLAMATION FACILITY","TX0070939","NEW BRAUNFELS","TX","48008028003","217.9","Other Management Practice","","","","217.9","Not Applicable"
"HARRIS CO MUD 247 ","TX0092606","JERSEY VILLAGE","TX","48071123001","49.89","Other Management Practice","","","","49.89","Class B"
"CITY OF LOTT WWTP","TX0053376","LOTT","TX","48003051001","7","Other Management Practice","","","","7","Not Applicable"
"CITY OF CELESTE WWTP","TX0024180","CELESTE","TX","48005054001","0","Other Management Practice","","","","","Not Applicable"
"MUDDY CREEK REGIONAL WWTP","TX0123561","WYLIE","TX","48004354012","1959.74","Other Management Practice","","","","1959.74","Not Applicable"
"PANTHER CREEK WWTP","TX0123901","WYLIE","TX","48004354017","1700.28","Other Management Practice","","","","1700.28","Not Applicable"
"CITY OF GOLIAD WWTP","TX0022411","GOLIAD","TX","48001236001","100.2","Other Management Practice","","","","100.2","Class A"
"ROWLETT CREEK REGIONAL WWTP","TX0047911","WYLIE","TX","48004354001","5110.12","Other Management Practice","","","","5110.12","Not Applicable"
"SABINE CREEK REGIONAL WWTP","TX0126110","WYLIE","TX","48004354018","502.57","Other Management Practice","","","","502.57","Not Applicable"
"SEIS LAGOS WWTP","TX0024988","WYLIE","TX","48004354003","11.92","Other Management Practice","","","","11.92","Not Applicable"
